coord,name,lon,geometry,uuid,lat
POINT(127.0055284 37.5001768),PLENTY CONVENTION,127.0055284,POINT(127.0055284 37.5001768),convention_1,37.5001768
POINT(127.0094869 37.490749),ABCC 아시아비즈니스컨벤션센터,127.0094869,POINT(127.0094869 37.490749),convention_2,37.490749
POINT(127.032646 37.46618),더케이호텔서울컨벤션센터,127.032646,POINT(127.032646 37.46618),convention_3,37.46618
POINT(127.0289592 37.4654289),한국교총MW컨벤션,127.0289592,POINT(127.0289592 37.4654289),convention_4,37.4654289
POINT(127.0403435 37.4662427),aT센터,127.0403435,POINT(127.0403435 37.4662427),convention_5,37.4662427
POINT(127.0280393 37.4945614),한국컨퍼런스센터,127.0280393,POINT(127.0280393 37.4945614),convention_6,37.4945614
