coord,name,lon,geometry,uuid,lat
POINT(127.0032242 37.5042121),메가박스중앙(주) 센트럴 더부티크,127.0032242,POINT(127.0032242 37.5042121),theater_1,37.5042121
POINT(127.0265011 37.4980628),메가박스중앙(주) 강남,127.0265011,POINT(127.0265011 37.4980628),theater_2,37.4980628
POINT(127.025952 37.4889667),CGV Salon 서초,127.025952,POINT(127.025952 37.4889667),theater_3,37.4889667
