area_use,area_supply,rooms,households,uuid,restrooms,space,management_fee_summer,area_supply_pyeong,floor_plan_url,management_fee_winter,management_fee_year,entrance,apartment_uuid
59.98,80.16,3,47,apartmenttype_32,1,80㎡,nan,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=1,nan,nan,복도식,apartment_1165010107
84.87,106.34,3,26,apartmenttype_33,2,106A㎡,nan,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=3,nan,nan,복도식,apartment_1165010107
84.88,107.19,3,5,apartmenttype_34,2,107B㎡,nan,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=2,nan,nan,복도식,apartment_1165010107
114.46,139.13,4,10,apartmenttype_35,2,139B㎡,nan,42,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=5,nan,nan,계단식,apartment_1165010107
114.52,139.2,4,15,apartmenttype_36,2,139A㎡,nan,42,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=4,nan,nan,계단식,apartment_1165010107
84.91,97.39,3,364,apartmenttype_37,2,97㎡,213927.0,29,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=466&ptpId=1,206622.0,202465.0,계단식,apartment_1165010108
59.94,85.04,2,262,apartmenttype_38,1,85㎡,149836.0,25,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=1,146122.0,143768.0,복도식,apartment_1165010109
84.96,109.44,3,224,apartmenttype_39,2,109㎡,212381.0,33,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=2,207115.0,203779.0,계단식,apartment_1165010109
114.78,141.97,4,108,apartmenttype_40,2,141㎡,286924.0,43,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=3,279811.0,275303.0,계단식,apartment_1165010109
124.81,151.84,4,11,apartmenttype_41,2,151㎡,311997.0,46,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=4,304262.0,299361.0,계단식,apartment_1165010109
134.76,163.97,4,39,apartmenttype_42,2,163㎡,336869.0,49,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=5,328518.0,323226.0,계단식,apartment_1165010109
59.86,81.58,2,29,apartmenttype_43,1,81㎡,138727.0,24,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=1,129828.0,130956.0,계단식,apartment_1165010110
84.94,108.29,3,156,apartmenttype_44,2,108㎡,196852.0,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=3,184223.0,185824.0,계단식,apartment_1165010110
114.74,141.51,4,69,apartmenttype_45,2,141㎡,265914.0,42,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=4,248855.0,251017.0,계단식,apartment_1165010110
147.26,176.05,4,112,apartmenttype_46,2,176㎡,341280.0,53,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=5,319387.0,322162.0,계단식,apartment_1165010110
84.98,106.36,3,26,apartmenttype_47,2,106㎡,nan,32,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=1,nan,nan,계단식,apartment_1165010111
120.91,148.8,4,52,apartmenttype_48,2,148A㎡,nan,45,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=2,nan,nan,계단식,apartment_1165010111
