uuid,name,type,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
restaurant_74670,다미선(多味鮮),한식,서울특별시 서초구 서초동 1328-7번지 도시에빛 B1,POINT (127.0283573 37.4953299),2.6,pedestrian_4865883248,localroad_571448678
restaurant_74671,외갓집식당,분식,서울특별시 서초구 방배동 1001-36번지 낙안 1층,POINT (127.0045012 37.4821381),4.7,pedestrian_1925407818,localroad_1925407818
restaurant_74672,신의주찹쌀순대&숯불갈비,한식,서울특별시 서초구 방배동 453-23번지 (1층),POINT (126.9827869 37.4800249),3.7,pedestrian_4185991260,localroad_1685579601
restaurant_74673,고봉민 김밥인 서초역점,분식,서울특별시 서초구 서초동 1542-1번지 서초동 동일하이빌 109호,POINT (127.0082769 37.4916039),2.6,pedestrian_7888195567,localroad_7888195561
restaurant_74674,지현,한식,서울특별시 서초구 방배동 910-4 (지상1층),POINT (126.9961616 37.4826262),4.2,pedestrian_4185835029,localroad_4185835029
restaurant_74675,주나도리(주)세시서,한식,서울특별시 서초구 서초동 1302-45 양정빌딩 지상1층 가호,POINT (127.0228835 37.5031689),4.8,pedestrian_8495297507,localroad_1430655015
restaurant_74676,목연,기타,서울특별시 서초구 서초동 1698-6 1층,POINT (127.0141967 37.4963389),3,pedestrian_8489263448,localroad_3827548497
restaurant_74677,원조식당,한식,"서울특별시 서초구 양재동 23번지 양재역환승주차장 202,203호",POINT (127.0344491 37.4833147),3.7,pedestrian_1859565549,localroad_4865811281
restaurant_74678,백두산,한식,서울특별시 서초구 잠원동 13-7번지 지하1층,POINT (127.0186302 37.5161808),3.2,pedestrian_9891988061,localroad_2244637696
restaurant_74679,밀라이스,분식,서울특별시 서초구 서초동 1328-11,POINT (127.0286243 37.4948005),3,pedestrian_4865883252,localroad_571448678
restaurant_74680,고고싱,기타,서울특별시 서초구 양재동 281 지하1층 성호빌딩,POINT (127.0461278 37.4754263),4.2,pedestrian_4184618647,localroad_4184618647
restaurant_74681,이가네 양꼬치 양재2호점,한식,서울특별시 서초구 양재동 316-1 1층,POINT (127.0393045 37.4705864),4.4,pedestrian_1925498380,localroad_1925498380
restaurant_74682,깐띠아모,까페,서울특별시 서초구 서초동 1537-5번지 지하1층,POINT (127.0097425 37.4868046),3.4,pedestrian_5092097487,localroad_5092097487
restaurant_74683,꼬꼬막,기타,서울특별시 서초구 서초동 1601-1번지 브이-샤르망 205호,POINT (127.0144779 37.4861323),2.5,pedestrian_3827258469,localroad_3827258469
