uuid,node1_uuid,node2_uuid,distance,average_travel_time,geometry
localroad_6755,localroad_4185991287,localroad_4185991285,64.39,0.19317,"MultiLineString ((126.9847914 37.4819682, 126.9840617 37.4819736))"
localroad_6756,localroad_4185991287,localroad_4101372804,78.345,0.29379375,"MultiLineString ((126.9847914 37.4819682, 126.9848159 37.4826725))"
localroad_6757,localroad_4185991288,localroad_4101372802,62.78,0.235425,"MultiLineString ((126.9833999 37.4821705, 126.9826886 37.4821835))"
localroad_6758,localroad_4185991288,localroad_4101372801,60.51,0.213564706,"MultiLineString ((126.9833999 37.4821705, 126.9840851 37.4821485))"
localroad_6759,localroad_4185991288,localroad_4101372789,39.726,0.125450526,"MultiLineString ((126.9833999 37.4821705, 126.9834085 37.4818133))"
localroad_6760,localroad_4185991288,localroad_4185991290,87.881,0.292936667,"MultiLineString ((126.9833999 37.4821705, 126.9834196 37.4824085, 126.9834707 37.4824261, 126.9841101 37.4824107))"
localroad_6761,localroad_4185991290,localroad_1685716274,30.503,0.096325263,"MultiLineString ((126.9841101 37.4824107, 126.9840998 37.4826849))"
localroad_6762,localroad_4185991290,localroad_4101372801,29.239,0.097463333,"MultiLineString ((126.9841101 37.4824107, 126.9840851 37.4821485))"
localroad_6763,localroad_4185991290,localroad_4185991288,87.881,0.310168235,"MultiLineString ((126.9841101 37.4824107, 126.9834707 37.4824261, 126.9834196 37.4824085, 126.9833999 37.4821705))"
localroad_6764,localroad_4185991297,localroad_7924598586,73.294,0.219882,"MultiLineString ((126.988513 37.4807009, 126.9884948 37.4807419, 126.9884723 37.4807924, 126.9884085 37.4808979, 126.9881659 37.4812992))"
localroad_6765,localroad_4185991297,localroad_4185991228,386.824,1.160472,"MultiLineString ((126.988513 37.4807009, 126.9886061 37.4804917, 126.988607 37.4804021, 126.9885853 37.4803275, 126.9885448 37.4802544, 126.9884496 37.4802007, 126.9876649 37.4800224, 126.9875991 37.479997, 126.9875407 37.4799627, 126.9874956 37.4799134,"
localroad_6766,localroad_4185991297,localroad_4185991299,88.904,0.313778824,"MultiLineString ((126.988513 37.4807009, 126.9879226 37.4804527, 126.9876657 37.4806287))"
localroad_6767,localroad_4185991299,localroad_4185991301,41.398,0.165592,"MultiLineString ((126.9876657 37.4806287, 126.9874392 37.4806843, 126.9872081 37.4806676))"
localroad_6768,localroad_4185991299,localroad_4185991297,88.904,0.33339,"MultiLineString ((126.9876657 37.4806287, 126.9879226 37.4804527, 126.988513 37.4807009))"
localroad_6769,localroad_4185991299,localroad_7924598586,90.596,0.286092632,"MultiLineString ((126.9876657 37.4806287, 126.9877582 37.4808144, 126.9879553 37.4812105, 126.9881659 37.4812992))"
localroad_6770,localroad_4185991301,localroad_4185991268,194.288,0.647626667,"MultiLineString ((126.9872081 37.4806676, 126.9868345 37.4804786, 126.9865356 37.4803675, 126.9864025 37.4802025, 126.9863698 37.4800061, 126.9861129 37.479793, 126.9859238 37.4796226, 126.9857224 37.4794747))"
localroad_6771,localroad_4185991301,localroad_4185991299,41.398,0.124194,"MultiLineString ((126.9872081 37.4806676, 126.9874392 37.4806843, 126.9876657 37.4806287))"
localroad_6772,localroad_4185991301,localroad_4185991309,54.625,0.192794118,"MultiLineString ((126.9872081 37.4806676, 126.9872231 37.4808276, 126.9868838 37.4810198))"
localroad_6773,localroad_4185991309,localroad_1685716308,73.066,0.2739975,"MultiLineString ((126.9868838 37.4810198, 126.9869014 37.4811208, 126.9869285 37.4811918, 126.9869426 37.4813572, 126.986997 37.4816694))"
localroad_6774,localroad_4185991309,localroad_4101372799,6.367,0.022471765,"MultiLineString ((126.9868838 37.4810198, 126.986879 37.4809925, 126.9868568 37.4809686))"
localroad_6775,localroad_4185991309,localroad_4185991301,54.625,0.192794118,"MultiLineString ((126.9868838 37.4810198, 126.9872231 37.4808276, 126.9872081 37.4806676))"
localroad_6776,localroad_4185991325,localroad_1685686500,28.009,0.088449474,"MultiLineString ((126.9871681 37.4823087, 126.9874423 37.4824356))"
localroad_6777,localroad_4185991325,localroad_1685716292,20.169,0.060507,"MultiLineString ((126.9871681 37.4823087, 126.9869593 37.4822349))"
localroad_6778,localroad_4185991325,localroad_4185991328,98.102,0.327006667,"MultiLineString ((126.9871681 37.4823087, 126.9874184 37.4818127, 126.9875418 37.4817531, 126.9878069 37.481854))"
localroad_6779,localroad_4185991328,localroad_1685686500,72.231,0.254932941,"MultiLineString ((126.9878069 37.481854, 126.98759 37.4822, 126.9874423 37.4824356))"
localroad_6780,localroad_4185991328,localroad_7924598586,69.405,0.23135,"MultiLineString ((126.9878069 37.481854, 126.9878821 37.481734, 126.9879824 37.4816026, 126.9881659 37.4812992))"
localroad_6781,localroad_4185991328,localroad_4185991325,98.102,0.294306,"MultiLineString ((126.9878069 37.481854, 126.9875418 37.4817531, 126.9874184 37.4818127, 126.9871681 37.4823087))"
localroad_6782,localroad_4185991329,localroad_1685716308,32.013,0.128052,"MultiLineString ((126.9873594 37.4816829, 126.986997 37.4816694))"
localroad_6783,localroad_4185991330,localroad_1685686572,33.444,0.11148,"MultiLineString ((126.9856137 37.4823647, 126.9854857 37.4826478))"
localroad_6784,localroad_4185991330,localroad_4185991236,38.103,0.114309,"MultiLineString ((126.9856137 37.4823647, 126.9856828 37.4821206, 126.9856779 37.4820282))"
localroad_6785,localroad_4185991330,localroad_4185991332,116.448,0.38816,"MultiLineString ((126.9856137 37.4823647, 126.9863648 37.4824597, 126.9863909 37.4823218, 126.9865185 37.4820349))"
localroad_6786,localroad_4185991332,localroad_4185991235,9.721,0.038884,"MultiLineString ((126.9865185 37.4820349, 126.9866282 37.4820269))"
localroad_6787,localroad_4185991332,localroad_4185991236,74.177,0.296708,"MultiLineString ((126.9865185 37.4820349, 126.9856779 37.4820282))"
localroad_6788,localroad_4185991332,localroad_4185991330,116.448,0.465792,"MultiLineString ((126.9865185 37.4820349, 126.9863909 37.4823218, 126.9863648 37.4824597, 126.9856137 37.4823647))"
