uuid,name,geometry
university_1,서울교육대학교,"MultiPolygon (((127.01387207 37.49788322, 127.01396834 37.49746385, 127.01407538 37.49699764, 127.0141061 37.49686381, 127.01415908 37.49687214, 127.01426205 37.49689098, 127.01452458 37.49693652, 127.01482573 37.49699676, 127.01489477 37.49700628, 127.01492307 37.49697957, 127.01512655 37.49654649, 127.01531196 37.49616499, 127.01535423 37.49607801, 127.01544428 37.49586565, 127.01547072 37.49581775, 127.01557633 37.49561705, 127.01571123 37.49563974, 127.01651514 37.49577497, 127.01673594 37.49581102, 127.01677651 37.49582076, 127.01717307 37.4953804, 127.0173641 37.49522121, 127.01745355 37.49524174, 127.01789684 37.49537974, 127.018246 37.49548794, 127.01843325 37.49554596, 127.01881543 37.49566325, 127.01917297 37.49577309, 127.01930095 37.4958124, 127.01941012 37.49584594, 127.01952378 37.49589323, 127.01963315 37.49596565, 127.01974559 37.49603878, 127.02004947 37.49623643, 127.02019242 37.49633961, 127.02043544 37.49575343, 127.02043621 37.49575149, 127.02047523 37.49564835, 127.02049932 37.49558945, 127.02050605 37.49557304, 127.02061588 37.49526839, 127.02063399 37.49521818, 127.02070243 37.49503224, 127.020795 37.49478075, 127.01951838 37.49438783, 127.01896691 37.49421808, 127.01893068 37.4942069, 127.01897734 37.49415159, 127.01918828 37.49392008, 127.01931411 37.49378198, 127.01946997 37.49361091, 127.01923876 37.49348134, 127.01907278 37.49338834, 127.01898395 37.493335, 127.01875544 37.49320088, 127.018455 37.49302609, 127.01808677 37.49281186, 127.01796438 37.49274808, 127.01789687 37.49271289, 127.01772732 37.49261133, 127.01771292 37.49260302, 127.01758858 37.4925313, 127.01735534 37.49239675, 127.01733722 37.4923863, 127.01698725 37.4921812, 127.01696082 37.49215456, 127.01693568 37.49212922, 127.0169011 37.492081, 127.01688505 37.49205208, 127.01687686 37.49203732, 127.01686724 37.49201146, 127.01685931 37.49195569, 127.0168558 37.49189289, 127.01685747 37.49181009, 127.01686413 37.49174594, 127.01690606 37.49161391, 127.01690934 37.49160358, 127.01691668 37.49158375, 127.01684961 37.49157522, 127.01659622 37.49154298, 127.01602687 37.49147935, 127.01576238 37.49144785, 127.01548319 37.49141759, 127.01543106 37.49141194, 127.01485936 37.49134632, 127.01484666 37.49134486, 127.01454457 37.49131105, 127.01427024 37.49128034, 127.01410738 37.49126211, 127.01410448 37.49126179, 127.01410442 37.49126216, 127.01407654 37.49126256, 127.01426643 37.49018193, 127.01427045 37.49015909, 127.01427077 37.4901573, 127.01427156 37.4901528, 127.0141404 37.49013858, 127.01361866 37.49008201, 127.01343494 37.49006209, 127.01313604 37.49002967, 127.01256601 37.48996785, 127.01233612 37.48994292, 127.01173067 37.48987726, 127.011724 37.48987661, 127.01162019 37.4898665, 127.01153427 37.48990058, 127.01114378 37.49005549, 127.01104478 37.49010476, 127.01099915 37.49013309, 127.01092091 37.49023688, 127.01091511 37.4902456, 127.01071679 37.49054381, 127.01112289 37.49071517, 127.01139516 37.4908317, 127.01170766 37.49096545, 127.01195449 37.49107532, 127.01201765 37.49110266, 127.01197769 37.49115596, 127.01184666 37.49134896, 127.01171316 37.49155186, 127.01168149 37.49160432, 127.0115542 37.49186031, 127.01153295 37.49190437, 127.01151407 37.49194374, 127.0113757 37.4922273, 127.0113503 37.492287, 127.01134959 37.49228869, 127.01122863 37.49253789, 127.01113679 37.49272626, 127.01106534 37.49288428, 127.01099918 37.49304309, 127.0109762 37.49309824, 127.01078333 37.49348235, 127.01075812 37.49352749, 127.01067096 37.49369941, 127.01052448 37.49400676, 127.0104937 37.49406532, 127.01034797 37.49437059, 127.01022914 37.49460318, 127.01021205 37.49463662, 127.01152672 37.49505007, 127.01246227 37.49534428, 127.0132455 37.49559058, 127.01324239 37.4956031, 127.01323774 37.49562185, 127.01310633 37.49615158, 127.01309259 37.49620851, 127.01301564 37.49652735, 127.01297723 37.4966865, 127.01296922 37.49671969, 127.01296789 37.49672518, 127.01295778 37.49676708, 127.01295646 37.49677254, 127.01287003 37.49713062, 127.0128082 37.49738679, 127.01274644 37.49764267, 127.01272947 37.49772317, 127.01273947 37.49772085, 127.01291116 37.49774568, 127.01329289 37.49780089, 127.01387207 37.49788322)))"
university_2,서울교육대학교,"MultiPolygon (((127.0145837 37.48837646, 127.01458399 37.48837482, 127.0145964 37.48837834, 127.01533815 37.48860322, 127.0158431 37.48875265, 127.01584588 37.48875348, 127.01663302 37.48898332, 127.01668251 37.4889987, 127.01672368 37.48891808, 127.01689631 37.48855911, 127.01710333 37.48812857, 127.01712749 37.4880827, 127.01695292 37.48802905, 127.01671784 37.4879568, 127.01668504 37.48794825, 127.01634785 37.4878408, 127.01627969 37.4878159, 127.0162813 37.48781247, 127.01638095 37.48760405, 127.01643563 37.48748969, 127.01653094 37.48728508, 127.01656735 37.48721075, 127.01667293 37.48699521, 127.01676024 37.48681991, 127.01670539 37.48680438, 127.01611681 37.48662082, 127.01582076 37.48652849, 127.0155774 37.48645259, 127.01557705 37.48645248, 127.01542001 37.4864035, 127.01541864 37.4864057, 127.0154159 37.48641008, 127.01541488 37.48641169, 127.0153216 37.48656039, 127.01529407 37.48660427, 127.01528586 37.48661805, 127.01516345 37.48682352, 127.01516366 37.4868201, 127.01501963 37.48674845, 127.01446311 37.48647159, 127.01427153 37.48637697, 127.01427065 37.48637653, 127.0135689 37.48604928, 127.01356757 37.48604867, 127.01292735 37.48573667, 127.01289734 37.48572121, 127.01235569 37.48546092, 127.01233889 37.48545284, 127.01229946 37.48554844, 127.01210589 37.4859457, 127.01197658 37.48621107, 127.01191019 37.48635625, 127.01189421 37.48635143, 127.01174019 37.4863048, 127.01173556 37.4863034, 127.01132613 37.48617943, 127.01128787 37.48616892, 127.01126167 37.48616172, 127.01125553 37.48616004, 127.01075085 37.48600369, 127.01053762 37.48593845, 127.00981641 37.48571377, 127.0095701 37.48621871, 127.00938489 37.4865984, 127.00921957 37.48694487, 127.00905712 37.48728532, 127.0090551 37.48728953, 127.00857084 37.48828409, 127.00850558 37.48841812, 127.00826431 37.4889136, 127.00820374 37.48903798, 127.00820544 37.48903841, 127.00827892 37.48906365, 127.00871188 37.4891995, 127.00872105 37.48920237, 127.00892458 37.48926623, 127.00913808 37.48932903, 127.00945015 37.48943168, 127.00945197 37.48943228, 127.00964305 37.48948717, 127.01001513 37.4887384, 127.01009063 37.48876223, 127.01016438 37.48887205, 127.01016573 37.48887405, 127.01029646 37.48905858, 127.0103857 37.48918568, 127.01061515 37.4895049, 127.01119489 37.48923726, 127.01099218 37.48895161, 127.01096822 37.48891784, 127.01086097 37.48876668, 127.01083999 37.48873798, 127.01084053 37.48873763, 127.01090045 37.4887056, 127.01132707 37.48850842, 127.01129074 37.48846149, 127.01118749 37.48830841, 127.01106648 37.48813205, 127.01107416 37.48809471, 127.01115182 37.48793252, 127.01121684 37.48795405, 127.01172466 37.48811195, 127.01177994 37.48812954, 127.01184271 37.48814951, 127.01217549 37.48824967, 127.0124056 37.48831434, 127.01246712 37.48833587, 127.01247325 37.48833776, 127.01228118 37.48875179, 127.01228392 37.48875663, 127.01240649 37.48897253, 127.01240928 37.48897733, 127.0126483 37.48938894, 127.01256601 37.48996785, 127.01313604 37.49002967, 127.01343494 37.49006209, 127.01361866 37.49008201, 127.0141404 37.49013858, 127.01427156 37.4901528, 127.01434507 37.48973449, 127.01437954 37.48953832, 127.01447378 37.48900202, 127.01447422 37.48899947, 127.01458338 37.48837829, 127.0145837 37.48837646)))"
university_3,가톨릭대학교,"MultiPolygon (((127.00894543 37.50739497, 127.00896783 37.50736484, 127.00896916 37.50736524, 127.00904033 37.50738676, 127.00910674 37.50726033, 127.00921032 37.50706316, 127.00929861 37.50689508, 127.00936989 37.50675938, 127.00954049 37.50643462, 127.00962372 37.50627617, 127.00967696 37.50617482, 127.00968805 37.50615371, 127.00993075 37.50569167, 127.01002601 37.50551033, 127.01038762 37.50482192, 127.0104161 37.50476771, 127.01041628 37.50476736, 127.01038332 37.50476447, 127.01005876 37.50468344, 127.00978705 37.50458042, 127.00973138 37.50455932, 127.00863648 37.5041442, 127.00789764 37.50386407, 127.00660316 37.50335715, 127.00654673 37.50333527, 127.00517618 37.50280402, 127.00443867 37.50254085, 127.00383203 37.5023786, 127.00329275 37.50221278, 127.00311195 37.50212237, 127.00311249 37.50212297, 127.00306341 37.50248873, 127.00293853 37.50269016, 127.00289961 37.50275294, 127.00255854 37.503161, 127.00255662 37.5031633, 127.00248141 37.50325328, 127.00225511 37.50352404, 127.0021974 37.50359307, 127.00219461 37.50359642, 127.00219161 37.50360001, 127.00178495 37.50408652, 127.00176908 37.50410653, 127.00175468 37.50412468, 127.00151006 37.50400435, 127.00122358 37.50386171, 127.00098288 37.50375347, 127.00087493 37.50392321, 127.00015592 37.50370976, 126.99968438 37.50356976, 126.99929489 37.50445223, 126.99932924 37.50446298, 126.999651 37.50456365, 127.00107103 37.50500795, 127.00107562 37.50499967, 127.00110901 37.50501046, 127.00114438 37.50502189, 127.00114052 37.50502969, 127.0010861 37.50513944, 127.00089228 37.50553034, 127.00088671 37.50554157, 127.00056124 37.50619799, 127.00042178 37.50647924, 127.00079764 37.50659097, 127.00119388 37.50670875, 127.00119932 37.50671037, 127.00127793 37.50655155, 127.00162908 37.50584209, 127.00165991 37.50582888, 127.001679 37.50578788, 127.00278545 37.50613187, 127.00280929 37.5061375, 127.00285998 37.50615298, 127.00414938 37.5065469, 127.00416373 37.5065169, 127.00433101 37.50657207, 127.00506742 37.50679487, 127.0060086 37.50707964, 127.00697719 37.50737713, 127.00760317 37.50756938, 127.00767565 37.50759406, 127.0080704 37.50772849, 127.00865001 37.50794704, 127.00868378 37.50788419, 127.00870474 37.50784523, 127.00872713 37.50780351, 127.00894543 37.50739497)))"
university_4,백석예술대학교,"MultiPolygon (((126.99666914 37.48564021, 126.99675575 37.48550127, 126.9967554 37.48550127, 126.99672845 37.48549746, 126.99636104 37.48534843, 126.99622728 37.48529483, 126.99605055 37.48522402, 126.99640539 37.48466397, 126.99627638 37.48460909, 126.99629233 37.4845863, 126.99648829 37.48430628, 126.99654404 37.48423796, 126.99657835 37.48419588, 126.99660071 37.48416848, 126.99669397 37.48405419, 126.99688344 37.48377227, 126.99704411 37.4835332, 126.99704915 37.48352553, 126.9970547 37.48351708, 126.99718106 37.48332497, 126.99737083 37.48303644, 126.9975392 37.48280624, 126.99780932 37.48242873, 126.99785127 37.48237179, 126.99789876 37.48232881, 126.99863422 37.48174984, 126.99880326 37.48162576, 126.99880106 37.48161718, 126.9990126 37.48163472, 126.99902604 37.48163583, 126.999047 37.48163757, 126.99931769 37.48166001, 126.99976364 37.48169698, 126.99977131 37.48169761, 126.99984587 37.48158309, 127.00019699 37.48103512, 127.00027863 37.48090772, 127.00030797 37.48085832, 127.00017947 37.48080517, 126.9999856 37.48072613, 126.99969152 37.48060624, 126.99956625 37.48079602, 126.99949604 37.48090238, 126.99946695 37.48094643, 126.99924887 37.4812768, 126.99867057 37.48110707, 126.99941946 37.47995138, 126.99987479 37.48014203, 126.99997219 37.48018107, 127.00003492 37.48008605, 127.00016106 37.47989495, 127.0003029 37.47968009, 127.00031455 37.47966243, 127.00040465 37.47952594, 127.00050967 37.47936684, 127.00057194 37.4792725, 127.00106836 37.47852047, 127.00116065 37.47838065, 127.00090463 37.47827248, 127.00114169 37.47789041, 127.000855 37.47776984, 127.00116414 37.47729027, 127.00133217 37.47702961, 127.00073204 37.47679077, 127.00070277 37.4768361, 127.00054934 37.47707368, 127.00043172 37.47725588, 127.00007597 37.47780691, 127.00003515 37.47786223, 126.99938806 37.47759461, 126.99887168 37.47835479, 126.99900932 37.47860955, 126.99927196 37.47871751, 126.99942678 37.47878115, 126.99881497 37.47969996, 126.99866973 37.47991808, 126.99819856 37.48062566, 126.99817583 37.48065981, 126.99800922 37.48091001, 126.99789872 37.48087541, 126.99738706 37.48071627, 126.99654858 37.48045549, 126.99653509 37.48048304, 126.9962689 37.48102678, 126.99563659 37.48082833, 126.99560421 37.48081816, 126.99560194 37.48081747, 126.99559549 37.48081542, 126.99559237 37.48081445, 126.99523051 37.48070087, 126.99488938 37.48058942, 126.99481745 37.48056592, 126.99477638 37.4805525, 126.99464421 37.48050932, 126.99461051 37.48049831, 126.99436549 37.48041826, 126.99414771 37.48075974, 126.99418713 37.48077144, 126.99477122 37.48094476, 126.9951732 37.48106404, 126.99503061 37.48135207, 126.99501359 37.48138645, 126.99523195 37.48145493, 126.99521006 37.48148904, 126.99502328 37.48178004, 126.99495049 37.48189345, 126.99480496 37.48212018, 126.99471866 37.48225464, 126.99459222 37.48245162, 126.99458817 37.48245794, 126.99456613 37.48249229, 126.99453406 37.48254139, 126.99432301 37.48286447, 126.99422587 37.48301854, 126.99420913 37.48304935, 126.99386533 37.48358821, 126.99384445 37.48362092, 126.99444559 37.48386216, 126.99464089 37.48394158, 126.99505142 37.48410853, 126.99484228 37.48442873, 126.99467866 37.48468569, 126.99455991 37.48487192, 126.99448019 37.48498922, 126.9943247 37.48523212, 126.99487259 37.48545776, 126.9950258 37.48552085, 126.9950284 37.48552193, 126.99503101 37.48552299, 126.99517702 37.48558262, 126.99550057 37.48571475, 126.99567933 37.48544772, 126.99653681 37.48579599, 126.99656555 37.48580706, 126.9965711 37.48579812, 126.9965763 37.48578975, 126.99665199 37.48566785, 126.99665976 37.48565533, 126.99666914 37.48564021)))"
