uuid,type,name,address,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
daycare_1295,직장,삼성전자서울R&D캠퍼스어린이집,서울특별시 서초구 성촌길 67 삼성전자서울알앤디캠퍼스어린이집,POINT (127.0216833 37.4659816),pedestrian_9909895715,localroad_562451170
daycare_1298,직장,국립중앙도서관책사랑어린이집,서울특별시 서초구 반포대로 201 국립중앙도서관 내 어린이집,POINT (127.0030618 37.4968581),pedestrian_2624211471,localroad_7888195503
daycare_1370,국공립,서초구립 포레스타2단지어린이집,서울특별시 서초구 헌릉로8길 45,POINT (127.0610296 37.4554791),pedestrian_5092061497,localroad_5092061497
daycare_1383,국공립,서초구립 서초자연이랑 어린이집,서울특별시 서초구 양재대로2길 109,POINT (127.0133414 37.4564692),pedestrian_8487937348,localroad_8487937348
daycare_1385,국공립,서초구립 포레스타6단지어린이집,서울특별시 서초구 청계산로9길 1-12,POINT (127.0559117 37.4499058),pedestrian_3547291980,localroad_3547291980
daycare_1422,직장,롯데건설어린이집,서울특별시 서초구 강남대로101안길 33,POINT (127.0170286 37.5158251),pedestrian_600377860,localroad_3088864938
daycare_1497,국공립,서초더샵포레어린이집,서울특별시 서초구 헌릉로8길 58 104동 1층,POINT (127.0631232 37.4534593),pedestrian_4632181942,localroad_3442448052
daycare_1502,국공립,서초구립 포레스타3단지어린이집,서울특별시 서초구 헌릉로8길 22 305동 1층,POINT (127.0588224 37.4548308),pedestrian_4633790811,localroad_4633790811
daycare_1503,국공립,서초구립 리본타워2단지어린이집,서울특별시 서초구 매헌로16길 40 양재리본타워2단지 관리동(양재동),POINT (127.0363122 37.4650205),pedestrian_3228035791,localroad_3228035791
daycare_1514,국공립,서초구립 포레스타5단지어린이집,서울특별시 서초구 청계산로7길 43 510동 1층,POINT (127.0572224 37.4517274),pedestrian_8764029853,localroad_5933030426
daycare_1583,국공립,서초구립 서리풀어린이집,"서울특별시 서초구 반포대로 121 (서초동, 사랑의 교회내)",POINT (127.0078623 37.4904651),pedestrian_3222437349,localroad_3222437349
daycare_1607,국공립,서초구립 서초3단지어린이집,서울특별시 서초구 양재대로2길 34 우면동 408번지 서초보금자리3단지 내 별동,POINT (127.0177305 37.4570554),pedestrian_3634017639,localroad_3634017639
daycare_1623,국공립,서초구립 리본타워어린이집,"서울특별시 서초구 바우뫼로18길 20 101동 1층(양재동, 리본타워)",POINT (127.0325673 37.4731625),pedestrian_846808337,localroad_846808337
