uuid,type,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
hospital_811,기타,양재굿본재활의학과의원,"서울특별시 서초구 강남대로 273, 송남빌딩 1층 (서초동)",POINT (127.0319425 37.48752607),4.4,pedestrian_6337030225,localroad_3827170285
hospital_813,기타,양재마디튼튼의원,"서울특별시 서초구 강남대로 206, 4층 (양재동)",POINT (127.0365074 37.48266832),2.6,pedestrian_4865882592,localroad_9159792967
hospital_815,기타,양재삼성마취통증의학과의원,"서울특별시 서초구 동산로 1, 황금궁전 양재동 2,3,4층 (양재동)",POINT (127.0401393 37.46900819),3.9,pedestrian_4865811287,localroad_4865811287
hospital_823,기타,어려진의원,"서울특별시 서초구 강남대로97길 10, 2층 (잠원동)",POINT (127.0190943 37.51475887),2.7,pedestrian_4181527974,localroad_4181527974
hospital_827,기타,엄인호통증의학과,"서울특별시 서초구 신반포로 177, 3동 4층 (잠원동, 잠원동, 반포쇼핑)",POINT (127.0034065 37.50610045),2.8,pedestrian_11641428828,localroad_11641428828
hospital_829,기타,에르네의원,"서울특별시 서초구 서초대로77길 59, 강남역 2차 I'PARK 지하1층, 3층 (서초동)",POINT (127.0239803 37.5022778),2.8,pedestrian_4946614564,localroad_1430655015
hospital_834,기타,에스에이치의원,"서울특별시 서초구 강남대로34길 7, 2층 (양재동)",POINT (127.0364773 37.48303855),3.1,pedestrian_1694783086,localroad_1694783086
hospital_749,기타,에이블메디케어의원,"서울특별시 서초구 효령로 410, 삼성디지털프라자 1,2,3층 (서초동)",POINT (127.0286183 37.48836693),3,pedestrian_9608955262,localroad_3827170315
hospital_839,기타,에이아이의원,"서울특별시 서초구 강남대로 341, 7층 (서초동, 삼원빌딩)",POINT (127.0293599 37.49325571),3.7,pedestrian_9608955337,localroad_571448680
hospital_841,기타,에이오의원,"서울특별시 서초구 서초대로77길 5, 6층 (서초동)",POINT (127.0263945 37.4983525),3.3,pedestrian_9632500766,localroad_8489896381
hospital_1353,기타,에프엔에스의원,"서울특별시 서초구 서초대로73길 9, 타임빌딩 7층 (서초동)",POINT (127.0252275 37.49830951),4,pedestrian_12061673699,localroad_4944067989
hospital_843,기타,엔디준의원,"서울특별시 서초구 서초대로46길 20-7, 2층 (서초동, 영토빌딩)",POINT (127.0097698 37.49123349),2.9,pedestrian_4185702108,localroad_4185702108
hospital_847,기타,엣지라인의원,"서울특별시 서초구 강남대로 441, 서산빌딩 6층 (서초동)",POINT (127.0253213 37.50170358),3.9,pedestrian_3827608168,localroad_1430655018
hospital_848,기타,여름의원,"서울특별시 서초구 강남대로 407, 10층 (서초동)",POINT (127.0265912 37.49900181),4.3,pedestrian_2280678683,localroad_2280678683
hospital_854,기타,연세가정의학과의원,"서울특별시 서초구 강남대로 381, 303호 (서초동, 두산베어스텔)",POINT (127.0276939 37.49668534),4.5,pedestrian_3106206002,localroad_571448492
hospital_857,기타,연세공감마취통증의학과의원,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 4층 401호 (서초동)",POINT (127.0134188 37.49300947),3.4,pedestrian_3827548050,localroad_3827548050
hospital_859,기타,연세권아름성장의원,"서울특별시 서초구 반포대로 291, 원베일리 스퀘어 4층 430~433호 (반포동)",POINT (126.999481 37.50490207),3,pedestrian_11641439376,localroad_11641439376
hospital_867,기타,연세마디힘재활의학과의원,"서울특별시 서초구 반포대로 118, 우림빌딩 2층 (서초동)",POINT (127.0086127 37.49066522),3.3,pedestrian_7888119764,localroad_2388037863
hospital_862,기타,연세박세진의원,"서울특별시 서초구 서래로 48, 2층 (반포동)",POINT (126.9985583 37.4992678),2.8,pedestrian_2622713691,localroad_2622713691
