uuid,name,geom
highwayjc_1,양재,Point (127.039738 37.463663)
highwayjc_2,금천,Point (126.890408 37.460744)
highwayjc_3,중랑,Point (127.114699 37.611104)
highwayjc_4,송파,Point (127.127819 37.474213)
highwayjc_5,상일,Point (127.179361 37.549401)
highwayjc_6,강일,Point (127.165725 37.573303)
