uuid,name,geometry,pedestrian_entrance_uuid,vehicle_entrance_uuid
citybusstop_8620,뱅뱅사거리,POINT (127.03216087 37.48792435),pedestrian_3827170308,localroad_3690640294
citybusstop_8621,무지개아파트,POINT (127.0263472 37.4877448),pedestrian_9608955234,localroad_3827170317
citybusstop_8622,서초동무지개아파트,POINT (127.0260531 37.4876295),pedestrian_6587137544,localroad_3827170281
citybusstop_8623,뱅뱅사거리(경유),POINT (127.0315519 37.4892223),pedestrian_9608955283,localroad_7168335734
citybusstop_8624,외교안보연구원.서초구청,POINT (127.0305443 37.4837943),pedestrian_11431861619,localroad_5406399771
citybusstop_8625,서초IC(가상),POINT (127.0265884 37.4823931),pedestrian_732030859,localroad_732030799
citybusstop_8626,서초구청,POINT (127.0324034 37.4840614),pedestrian_1859712487,localroad_1859712487
citybusstop_8627,상문고등학교.수표교교회,POINT (127.0050035 37.4818562),pedestrian_1925407818,localroad_1925407818
citybusstop_8628,서초동예술의전당,POINT (127.010918 37.4792588),pedestrian_1430674319,localroad_1430674319
citybusstop_8629,예술의전당,POINT (127.0132373 37.4802841),pedestrian_3089780848,localroad_8262025047
citybusstop_8630,국립국악원,POINT (127.0087096 37.4781705),pedestrian_5406500168,localroad_1430676801
citybusstop_8631,아리랑TV.국립국악원,POINT (127.0090806 37.4788364),pedestrian_1430674296,localroad_1430674296
citybusstop_8632,HCN서초방송,POINT (127.0120492 37.4822972),pedestrian_3089746783,localroad_3089746783
citybusstop_8633,신중초등학교,POINT (127.0106964 37.4796463),pedestrian_11431861739,localroad_1430674319
citybusstop_8634,서초동예술의전당,POINT (127.01084157 37.47975313),pedestrian_11431861739,localroad_1430674319
citybusstop_8635,방배빌딩.방배아트힐아파트정문,POINT (127.0064743 37.4782806),pedestrian_11431861599,localroad_436854295
citybusstop_8636,방배빌딩,POINT (127.0068689 37.4781724),pedestrian_436854295,localroad_436854295
citybusstop_8637,국립국악원,POINT (127.007381 37.4779435),pedestrian_11431861776,localroad_1430676811
citybusstop_8638,서울고등학교,POINT (127.0055791 37.4827474),pedestrian_4185715633,localroad_4185715633
citybusstop_8639,서울고교,POINT (127.0054038 37.482714),pedestrian_4185715633,localroad_4185715633
citybusstop_8640,서초3동주민센터,POINT (127.0116355 37.483129),pedestrian_3089746784,localroad_3089746784
citybusstop_8641,상문고등학교,POINT (127.0046089 37.4821455),pedestrian_1925407818,localroad_1925407818
citybusstop_8642,상문고교,POINT (127.0047242 37.4819049),pedestrian_1925407818,localroad_1925407818
citybusstop_8643,삼환아파트,POINT (127.0056275 37.4800296),pedestrian_436854296,localroad_436854296
citybusstop_8644,더미켈란아파트,POINT (127.0041602 37.485558),pedestrian_3827337541,localroad_3827337541
citybusstop_8645,상문고교,POINT (127.005513 37.484708),pedestrian_3827337527,localroad_3827337527
citybusstop_8646,서울고등학교,POINT (127.0050002 37.4829303),pedestrian_436882882,localroad_436882882
citybusstop_8647,서울고사거리,POINT (127.004333 37.4832169),pedestrian_3827337502,localroad_3827337502
citybusstop_8648,서초중학교,POINT (127.0085384 37.4836051),pedestrian_3827337506,localroad_3827337506
citybusstop_8649,서초유스센터.서초아트자이,POINT (127.0105005 37.4854801),pedestrian_3827337547,localroad_3827337547
citybusstop_8650,서초유스센터,POINT (127.0101625 37.4861722),pedestrian_3827337547,localroad_3827337547
citybusstop_8651,서울고등학교,POINT (127.006206 37.485549),pedestrian_4185744397,localroad_4185744397
citybusstop_8652,서초고후문,POINT (127.0045403 37.4892597),pedestrian_5735985206,localroad_5735985206
citybusstop_8653,서초역4번출구,POINT (127.006826 37.4913844),pedestrian_3221788788,localroad_3221788788
citybusstop_8654,대법원,POINT (127.0064912 37.491607),pedestrian_3827338153,localroad_3827338153
citybusstop_8655,대검찰청.서초경찰서,POINT (127.0060866 37.4944221),pedestrian_3221788793,localroad_2388053948
citybusstop_8656,서울중앙지방검찰청대검찰청,POINT (127.006115 37.494383),pedestrian_3221788793,localroad_2388053948
citybusstop_8657,미켈란아파트,POINT (127.0040324 37.4862032),pedestrian_3827338058,localroad_3827338058
citybusstop_8658,서초역.3번출구,POINT (127.0077861 37.4910843),pedestrian_9914441882,localroad_7888195561
citybusstop_8659,서초역3번출구,POINT (127.0078482 37.490795),pedestrian_9914441879,localroad_7888195561
citybusstop_8660,서초역,POINT (127.0078482 37.490795),pedestrian_9914441879,localroad_7888195561
citybusstop_8661,서초아트자이아파트,POINT (127.0111869 37.4851556),pedestrian_1965713735,localroad_1965713735
citybusstop_8662,BC카드.남부터미널,POINT (127.0142184 37.4847318),pedestrian_1965713748,localroad_1965713748
citybusstop_8663,남부터미널.BC카드앞,POINT (127.014396 37.4847552),pedestrian_4185691251,localroad_4185691251
citybusstop_8664,남부터미널,POINT (127.014314 37.484772),pedestrian_3827257136,localroad_3827257136
citybusstop_8665,서초동삼성아파트,POINT (127.00946 37.488725),pedestrian_2388037864,localroad_2388037864
citybusstop_8666,농협서초동지점,POINT (127.0093735 37.4887818),pedestrian_2388037864,localroad_2388037864
citybusstop_8667,서초아트자이아파트,POINT (127.01168 37.488546),pedestrian_4185702106,localroad_4185702106
citybusstop_8668,서울교대사거리,POINT (127.012974 37.4877389),pedestrian_1965713684,localroad_1965713684
citybusstop_8669,청호나이스,POINT (127.0130611 37.4879588),pedestrian_1965713684,localroad_1965713684
citybusstop_8670,서울교육대앞,POINT (127.01455 37.487887),pedestrian_3827258505,localroad_3827258505
citybusstop_8671,서초역.서울중앙지법등기국,POINT (127.0073723 37.4929153),pedestrian_7888195570,localroad_3221788791
citybusstop_8672,서초역,POINT (127.00725294 37.49321855),pedestrian_3222388849,localroad_3221788791
citybusstop_8673,서초경찰서,POINT (127.005994 37.4956827),pedestrian_7888195516,localroad_3221788778
citybusstop_8674,서울중앙지방검찰청,POINT (127.006543 37.494768),pedestrian_3221788795,localroad_2388053948
citybusstop_8675,교대역3,POINT (127.0129931 37.4936114),pedestrian_3153683163,localroad_3153683163
citybusstop_8676,교대역.법원검찰청,POINT (127.0127927 37.4932788),pedestrian_2368063910,localroad_2368063910
citybusstop_8677,서초역1번출구,POINT (127.0086999 37.4919294),pedestrian_2386012700,localroad_2386012700
citybusstop_8678,서초역,POINT (127.008749 37.492124),pedestrian_2386012700,localroad_2386012700
citybusstop_8679,법조단지,POINT (127.0128545 37.496458),pedestrian_3339367713,localroad_3339367713
citybusstop_8680,아크로비스타.미도아파트,POINT (127.0124973 37.4980458),pedestrian_12061668144,localroad_5628739391
citybusstop_8681,삼풍아파트,POINT (127.01289 37.496381),pedestrian_3339367713,localroad_3339367713
citybusstop_8682,서초아트자이아파트,POINT (127.0108918 37.4857441),pedestrian_1965713730,localroad_1965713730
citybusstop_8683,서초역2번출구,POINT (127.0081468 37.4912987),pedestrian_7888195561,localroad_7888195561
citybusstop_8684,서초동예술의전당,POINT (127.012886 37.4816857),pedestrian_1430679236,localroad_1430679236
citybusstop_8685,예술의전당,POINT (127.012891 37.481491),pedestrian_5318435374,localroad_5318435374
citybusstop_8686,남부터미널,POINT (127.0176022 37.4817361),pedestrian_5406500190,localroad_5406500190
citybusstop_8687,남부터미널,POINT (127.0169521 37.4819795),pedestrian_12272894340,localroad_3492835804
citybusstop_8688,예술의전당,POINT (127.0140414 37.4811103),pedestrian_1430679237,localroad_1430679237
citybusstop_8689,남부터미널,POINT (127.0156 37.4842),pedestrian_7996340645,localroad_3827257120
citybusstop_8690,서울남부터미널,POINT (127.0159 37.4843),pedestrian_7996340645,localroad_436864976
citybusstop_8691,남부터미널,POINT (127.0154826 37.4846722),pedestrian_3827257146,localroad_3827257146
citybusstop_8692,예술의전당,POINT (127.01368 37.484241),pedestrian_1965713748,localroad_1965713748
citybusstop_8693,KCC사옥,POINT (127.019755 37.5028675),pedestrian_12062647514,localroad_732033332
citybusstop_8694,금강사옥,POINT (127.020278 37.503036),pedestrian_12062647514,localroad_3827608184
citybusstop_8695,신논현역.구교보타워사거리,POINT (127.02466373 37.50337595),pedestrian_11034183379,localroad_1430655018
citybusstop_8696,교보타워앞,POINT (127.023213 37.503928),pedestrian_12061682136,localroad_2281095534
citybusstop_8697,교보타워,POINT (127.02547 37.501814),pedestrian_3827608168,localroad_1430655018
citybusstop_8698,신논현역.BSX빌딩,POINT (127.0256744 37.5012831),pedestrian_4867295786,localroad_1430655018
citybusstop_8699,지하철2호선강남역,POINT (127.025438 37.501817),pedestrian_3827608168,localroad_1430655018
citybusstop_8700,신논현역.우신빌딩,POINT (127.0253195 37.5019951),pedestrian_3827608168,localroad_1430655018
citybusstop_8701,신논현역.금강빌딩,POINT (127.0254472 37.50174),pedestrian_3827608168,localroad_1430655018
