uuid,apartmentcomplex_uuid,type,address,geometry
internalfacility_3052,apartment_1165010112,경로당,서울특별시 서초구 방배선행길 1 ,Point (126.983014 37.4744059)
internalfacility_3061,apartment_1165010646,경로당,서울특별시 서초구 신반포로33길 15 ,Point (127.0105504 37.50911711)
internalfacility_3064,apartment_1165010602,경로당,서울특별시 서초구 잠원로8길 35 ,Point (127.0121612 37.5152736)
internalfacility_3055,apartment_1165010136,경로당,서울특별시 서초구 방배로19길 67 ,Point (126.9917525 37.4835529)
internalfacility_1313,apartment_1165010855,피트니스센터,서울특별시 서초구 서운로 104 ,Point (127.0271805 37.49334854)
internalfacility_2883,apartment_1165010836,피트니스센터,서울특별시 서초구 효령로49길 57 ,Point (127.009024 37.48666424)
internalfacility_3664,apartment_1165010605,피트니스센터,서울특별시 서초구 신반포로45길 71 ,Point (127.0168811 37.51255312)
internalfacility_78,apartment_1165010611,피트니스센터,서울특별시 서초구 잠원로14길 41 1층,Point (127.014364 37.51648306)
internalfacility_2940,apartment_1165010118,피트니스센터,서울특별시 서초구 방배로 270 ,Point (126.9904453 37.49792314)
internalfacility_3560,apartment_1165010717,도서관,서울특별시 서초구 서초중앙로29길 28 ,Point (127.0092822 37.50071975)
internalfacility_592,apartment_1165010104,골프시설,서울특별시 서초구 방배로 14 1층,Point (127.0024529 37.47648441)
internalfacility_1397,apartment_1165010111,골프시설,서울특별시 서초구 방배중앙로21길 55 ,Point (126.9839518 37.49132203)
internalfacility_3254,apartment_1165010643,골프시설,서울특별시 서초구 신반포로23길 41 2층,Point (127.0044509 37.51165137)
internalfacility_1065,apartment_1165010855,골프시설,서울특별시 서초구 서운로 104 ,Point (127.0273952 37.49289888)
internalfacility_1343,apartment_1165010802,골프시설,서울특별시 서초구 서운로 201 ,Point (127.0203521 37.50127336)
internalfacility_1598,apartment_1165010102,골프시설,서울특별시 서초구 남부순환로 2311-12 ,Point (127.0056045 37.47791823)
internalfacility_2820,apartment_1165010126,골프시설,서울특별시 서초구 동광로 89-5 ,Point (126.9908116 37.49451081)
internalfacility_2821,apartment_1165010857,골프시설,서울특별시 서초구 서운로 62 ,Point (127.0270918 37.4912093)
internalfacility_3430,apartment_1165010857,골프시설,서울특별시 서초구 서운로 62 ,Point (127.0278756 37.49061028)
internalfacility_2773,apartment_1165010116,골프시설,서울특별시 서초구 방배천로18길 11 ,Point (126.9834128 37.48329353)
internalfacility_45,apartment_1165010819,골프시설,서울특별시 서초구 효령로72길 57 1층,Point (127.0284676 37.48700026)
internalfacility_606,apartment_1165010130,골프시설,서울특별시 서초구 서초대로 17 2층,Point (126.9843593 37.48597153)
