uuid,name,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
office_104,서초구 보훈회관,서울특별시 서초구 방배동 853-4,POINT (126.99137386 37.48961821),4.8,pedestrian_2510022117,localroad_2510022117
office_105,,서울특별시 서초구 서초동 1713-1,POINT (127.01213212 37.49442735),4.5,pedestrian_3132428231,localroad_3132428231
office_106,,서울특별시 서초구 서초동 1718-9,POINT (127.0085445 37.49238274),3.3,pedestrian_2386012700,localroad_2386012700
office_107,,서울특별시 서초구 양재동 45367,POINT (127.03916681 37.48056481),2.7,pedestrian_1694782674,localroad_1694782674
office_108,이수초석빌딩,서울특별시 서초구 방배동 421-3,POINT (126.98396803 37.48500371),4.2,pedestrian_4185991238,localroad_4185991238
office_109,,서울특별시 서초구 서초동 1515-1,POINT (127.00448696 37.48673546),4.2,pedestrian_3827338077,localroad_3827338077
office_110,,서울특별시 서초구 양재동 288-4,POINT (127.04773001 37.47426101),3.2,pedestrian_3011650455,localroad_3011650455
office_111,,서울특별시 서초구 양재동 302-11,POINT (127.04480767 37.47454007),3.8,pedestrian_3011545195,localroad_3011545195
office_112,,서울특별시 서초구 양재동 321-2,POINT (127.04139978 37.47101236),4.9,pedestrian_3560195923,localroad_1925498387
office_113,,서울특별시 서초구 반포동 20821,POINT (127.01035288 37.50421392),4.8,pedestrian_11428490533,localroad_10269514037
office_114,,서울특별시 서초구 잠원동 45343,POINT (127.01938032 37.51528193),4.9,pedestrian_9891988049,localroad_4867334997
office_115,HY빌딩,서울특별시 서초구 잠원동 45593,POINT (127.01979427 37.51323899),2.9,pedestrian_4867334981,localroad_2280678864
office_116,,서울특별시 서초구 서초동 1606-8,POINT (127.02307252 37.48718957),4.2,pedestrian_3827258506,localroad_3827258506
office_117,,서울특별시 서초구 양재동 319-6,POINT (127.04016471 37.4708695),4.1,pedestrian_1925498391,localroad_1925498391
office_118,,서울특별시 서초구 서초동 1582-6,POINT (127.01142127 37.48697482),3.3,pedestrian_4185691254,localroad_4185691254
office_119,스카이뷰빌딩,서울특별시 서초구 양재동 70,POINT (127.03648314 37.47705318),3.4,pedestrian_4184411288,localroad_4184411288
office_120,반포1동 주민센터,서울특별시 서초구 반포동 20-48,POINT (127.01339607 37.50509713),2.7,pedestrian_2032663459,localroad_4899542143
