uuid,name,branch,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
departmentstore_1,뉴코아 백화점,강남점,"서울특별시 서초구 잠원로 51, 뉴코아 아울렛 강남점 1관 지하1층 (잠원동)",POINT (127.00731005 37.50939765),4.34,pedestrian_4147013853,localroad_4147013853
departmentstore_2,신세계백화점,강남점,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",POINT (127.00362094 37.5043641),4.43,pedestrian_9787414078,localroad_11641428827
