lon,lat,progress,name,scheduled_date,line_name,uuid
127.034069,37.484511,계획,양재역,2026,GTX C,subwayfuture_0
127.0383496,37.4700185,구상,양재시민의숲역,미정,위례과천선,subwayfuture_1
127.036074,37.460723,구상,우면역,미정,위례과천선,subwayfuture_2
