area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
84.49,111.79,111A㎡,3,2,계단식,301523.0,300834.0,332086.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=1,290,33,apartmenttype_300,apartment_1165010602
104.02,137.17,137D㎡,4,2,계단식,371220.0,370373.0,408848.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=5,49,41,apartmenttype_301,apartment_1165010602
104.03,138.01,138A㎡,4,2,계단식,371256.0,370408.0,408887.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=6,56,41,apartmenttype_302,apartment_1165010602
104.04,137.46,137C㎡,4,2,계단식,371291.0,370444.0,408927.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=8,68,41,apartmenttype_303,apartment_1165010602
104.08,137.14,137B㎡,4,2,계단식,371434.0,370586.0,409084.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=7,61,41,apartmenttype_304,apartment_1165010602
133.01,168.6,168D㎡,4,2,계단식,474677.0,473594.0,522792.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=12,25,51,apartmenttype_305,apartment_1165010602
133.02,168.19,168C㎡,4,2,계단식,474713.0,473630.0,522832.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=11,31,50,apartmenttype_306,apartment_1165010602
133.04,169.02,169A㎡,4,2,계단식,474785.0,473701.0,522910.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=9,20,51,apartmenttype_307,apartment_1165010602
133.06,168.21,168B㎡,4,2,계단식,474856.0,473772.0,522989.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=108228&ptpId=10,28,50,apartmenttype_308,apartment_1165010602
78.48,109.63,109B㎡,3,2,계단식,302111.0,315335.0,341218.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=113295&ptpId=4,187,33,apartmenttype_309,apartment_1165010603
78.5,109.57,109A㎡,3,2,계단식,302188.0,315415.0,341305.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=113295&ptpId=3,188,33,apartmenttype_310,apartment_1165010603
84.79,117.85,117A㎡,3,2,계단식,326402.0,340689.0,368653.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=113295&ptpId=1,110,35,apartmenttype_311,apartment_1165010603
84.82,117.92,117B㎡,3,2,계단식,326517.0,340809.0,368783.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=113295&ptpId=2,110,35,apartmenttype_312,apartment_1165010603
59.35,85.34,85B㎡,3,2,계단식,208030.0,228477.0,205425.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=1,24,25,apartmenttype_313,apartment_1165010604
59.86,86.25,86C㎡,3,2,계단식,209818.0,230440.0,207190.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=3,13,26,apartmenttype_314,apartment_1165010604
59.93,86.02,86A㎡,3,2,계단식,210063.0,230709.0,207433.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=2,54,26,apartmenttype_315,apartment_1165010604
84.87,118.12,118A-1㎡,3,2,계단식,297481.0,326720.0,293756.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=6,54,35,apartmenttype_316,apartment_1165010604
84.92,117.52,117A-2㎡,3,2,계단식,297657.0,326912.0,293929.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=7,98,35,apartmenttype_317,apartment_1165010604
84.97,114.1,114B㎡,3,2,계단식,297832.0,327104.0,294102.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=5,91,34,apartmenttype_318,apartment_1165010604
84.98,112.34,112D㎡,3,2,계단식,297867.0,327143.0,294137.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=11,22,34,apartmenttype_319,apartment_1165010604
98.45,126.47,126㎡,4,2,계단식,345081.0,378998.0,340760.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=8,52,38,apartmenttype_320,apartment_1165010604
114.94,150.53,150㎡,4,2,계단식,402881.0,442478.0,397835.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=9,96,45,apartmenttype_321,apartment_1165010604
153.98,203.13,203㎡,6,3,계단식,539722.0,592768.0,532963.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=111703&ptpId=10,6,61,apartmenttype_322,apartment_1165010604
84.78,107.46,107㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3416&ptpId=1,92,32,apartmenttype_323,apartment_1165010605
116.42,146.22,146㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3416&ptpId=2,15,44,apartmenttype_324,apartment_1165010605
27.07,39.6,39㎡,1,1,복도식,91501.0,77630.0,99576.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3415&ptpId=1,30,12,apartmenttype_325,apartment_1165010606
28.87,41.89,41㎡,1,1,복도식,97585.0,82792.0,106198.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3415&ptpId=2,4,12,apartmenttype_326,apartment_1165010606
34.72,49.98,49B㎡,1,1,복도식,117359.0,99568.0,127717.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3415&ptpId=4,40,15,apartmenttype_327,apartment_1165010606
35.38,51.0,51A㎡,1,1,복도식,119590.0,101461.0,130145.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3415&ptpId=3,83,15,apartmenttype_328,apartment_1165010606
49.06,69.65,69㎡,2,1,복도식,165831.0,140691.0,180466.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3415&ptpId=5,11,21,apartmenttype_329,apartment_1165010606
50.64,55.63,55㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=523&ptpId=1,156,16,apartmenttype_330,apartment_1165010607
111.75,122.74,122㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=523&ptpId=2,26,37,apartmenttype_331,apartment_1165010607
76.68,94.84,94㎡,3,1,계단식,254683.0,227664.0,321378.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=541&ptpId=1,30,28,apartmenttype_332,apartment_1165010608
84.53,103.75,103㎡,3,2,계단식,280756.0,250971.0,354279.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=541&ptpId=2,420,31,apartmenttype_333,apartment_1165010608
106.15,140.41,140㎡,4,2,계단식,375109.0,348451.0,441125.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=2996&ptpId=1,144,42,apartmenttype_334,apartment_1165010609
123.6,162.59,162㎡,4,2,계단식,436773.0,405733.0,513641.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=2996&ptpId=2,6,49,apartmenttype_335,apartment_1165010609
133.41,171.98,171㎡,5,2,계단식,471440.0,437935.0,554408.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=2996&ptpId=3,100,52,apartmenttype_336,apartment_1165010609
151.11,193.84,193㎡,5,2,계단식,533987.0,496038.0,627964.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=2996&ptpId=4,6,58,apartmenttype_337,apartment_1165010609
109.56,128.98,128A㎡,4,2,계단식,328462.0,307725.0,395468.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8502&ptpId=1,80,39,apartmenttype_338,apartment_1165010610
110.11,129.34,129B㎡,4,2,계단식,330111.0,309270.0,397453.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8502&ptpId=4,50,39,apartmenttype_339,apartment_1165010610
132.16,153.85,153A㎡,4,2,계단식,396218.0,371203.0,477045.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8502&ptpId=2,159,46,apartmenttype_340,apartment_1165010610
132.78,152.49,152B㎡,4,2,계단식,398076.0,372944.0,479283.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8502&ptpId=5,54,46,apartmenttype_341,apartment_1165010610
148.86,168.28,168㎡,4,2,계단식,446285.0,418109.0,537325.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8502&ptpId=3,85,50,apartmenttype_342,apartment_1165010610
55.45,59.35,59A㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=308&ptpId=1,143,17,apartmenttype_343,apartment_1165010611
56.2,59.36,59B㎡,2,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=308&ptpId=4,13,17,apartmenttype_344,apartment_1165010611
75.79,81.28,81A㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=308&ptpId=2,88,24,apartmenttype_345,apartment_1165010611
76.4,81.28,81B㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=308&ptpId=5,8,24,apartmenttype_346,apartment_1165010611
105.36,114.1,114A㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=308&ptpId=3,66,34,apartmenttype_347,apartment_1165010611
106.19,114.1,114B㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=308&ptpId=6,6,34,apartmenttype_348,apartment_1165010611
84.38,101.05,101A㎡,3,2,계단식,273241.0,224266.0,343660.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=542&ptpId=2,19,30,apartmenttype_349,apartment_1165010612
84.69,102.99,102B㎡,3,2,계단식,274245.0,225089.0,344922.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=542&ptpId=3,18,31,apartmenttype_350,apartment_1165010612
84.83,103.17,103C㎡,3,2,계단식,274698.0,225462.0,345493.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=542&ptpId=4,131,31,apartmenttype_351,apartment_1165010612
84.9,102.47,102D㎡,3,2,계단식,274925.0,225648.0,345778.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=542&ptpId=1,120,31,apartmenttype_352,apartment_1165010612
84.87,103.77,103㎡,3,2,계단식,294605.0,268129.0,360265.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=545&ptpId=1,238,31,apartmenttype_353,apartment_1165010614
66.29,89.35,89㎡,3,1,복도식,229590.0,204883.0,285777.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=511&ptpId=1,150,27,apartmenttype_354,apartment_1165010615
84.53,101.08,101㎡,3,2,계단식,292762.0,261258.0,364410.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=511&ptpId=2,210,30,apartmenttype_355,apartment_1165010615
57.33,76.94,76㎡,3,1,계단식,158294.0,171585.0,157493.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=515&ptpId=1,84,23,apartmenttype_356,apartment_1165010616
78.89,103.15,103㎡,3,2,계단식,217823.0,236113.0,216721.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=515&ptpId=3,1,31,apartmenttype_357,apartment_1165010616
81.37,105.84,105㎡,3,2,계단식,224671.0,243536.0,223534.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=515&ptpId=4,16,32,apartmenttype_358,apartment_1165010616
84.33,109.7,109A㎡,3,2,계단식,232843.0,252395.0,231665.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=515&ptpId=2,16,33,apartmenttype_359,apartment_1165010616
84.85,108.66,108B㎡,3,2,계단식,234279.0,253951.0,233094.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=515&ptpId=5,49,32,apartmenttype_360,apartment_1165010616
52.32,57.58,57㎡,2,1,복도식,156399.0,139719.0,193874.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8149&ptpId=1,308,17,apartmenttype_361,apartment_1165010617
83.12,91.49,91㎡,3,1,복도식,248469.0,221971.0,308004.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=8149&ptpId=2,88,27,apartmenttype_362,apartment_1165010617
53.46,58.06,58㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=530&ptpId=1,132,17,apartmenttype_363,apartment_1165010618
84.49,118.82,118㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=530&ptpId=2,24,36,apartmenttype_364,apartment_1165010618
84.52,94.42,94㎡,3,2,계단식,321450.0,294293.0,388311.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=517&ptpId=1,540,28,apartmenttype_365,apartment_1165010619
84.97,101.34,101㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3413&ptpId=1,41,30,apartmenttype_366,apartment_1165010620
140.36,166.07,166㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3413&ptpId=2,76,50,apartmenttype_367,apartment_1165010620
53.88,57.64,57㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=519&ptpId=1,588,17,apartmenttype_368,apartment_1165010621
76.32,81.69,81㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=519&ptpId=2,288,24,apartmenttype_369,apartment_1165010621
80.4,87.74,87A㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=4,55,26,apartmenttype_370,apartment_1165010622
82.09,89.55,89B㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=1,4,27,apartmenttype_371,apartment_1165010622
82.1,89.58,89C㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=5,1,27,apartmenttype_372,apartment_1165010622
108.09,117.84,117㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=2,33,35,apartmenttype_373,apartment_1165010622
110.91,120.85,120㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=6,3,36,apartmenttype_374,apartment_1165010622
143.77,160.61,160㎡,4,2,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=7,109,48,apartmenttype_375,apartment_1165010622
143.79,160.63,160㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=3,1,48,apartmenttype_376,apartment_1165010622
145.37,162.35,162A㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=8,8,49,apartmenttype_377,apartment_1165010622
145.39,162.37,162B㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=876&ptpId=9,2,49,apartmenttype_378,apartment_1165010622
76.4,82.34,82A㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=1,196,24,apartmenttype_379,apartment_1165010623
77.11,83.05,83B㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=4,13,25,apartmenttype_380,apartment_1165010623
78.7,84.45,84㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=6,5,25,apartmenttype_381,apartment_1165010623
110.42,118.78,118B㎡,4,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=5,80,35,apartmenttype_382,apartment_1165010623
111.58,119.94,119A㎡,4,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=7,8,36,apartmenttype_383,apartment_1165010623
141.53,153.36,153㎡,4,2,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=3,88,46,apartmenttype_384,apartment_1165010623
143.03,154.86,154㎡,4,2,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=520&ptpId=8,8,46,apartmenttype_385,apartment_1165010623
117.07,129.25,129㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=526&ptpId=1,76,39,apartmenttype_386,apartment_1165010624
129.47,145.37,145㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=526&ptpId=2,32,44,apartmenttype_387,apartment_1165010624
59.56,73.43,73㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=546&ptpId=1,67,22,apartmenttype_388,apartment_1165010625
84.51,104.19,104A㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=546&ptpId=3,13,31,apartmenttype_389,apartment_1165010625
84.52,104.2,104B㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=546&ptpId=2,33,31,apartmenttype_390,apartment_1165010625
52.74,56.43,56B㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=536&ptpId=3,462,17,apartmenttype_391,apartment_1165010626
53.06,56.75,56A㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=536&ptpId=1,42,17,apartmenttype_392,apartment_1165010626
54.8,58.6,58C㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=536&ptpId=4,88,17,apartmenttype_393,apartment_1165010626
55.17,58.97,58D㎡,2,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=536&ptpId=5,8,17,apartmenttype_394,apartment_1165010626
141.53,153.36,153A㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=536&ptpId=2,242,46,apartmenttype_395,apartment_1165010626
143.03,154.86,154B㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=536&ptpId=6,22,46,apartmenttype_396,apartment_1165010626
63.94,79.93,79㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3527&ptpId=1,30,24,apartmenttype_397,apartment_1165010627
72.99,91.26,91㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3527&ptpId=3,3,27,apartmenttype_398,apartment_1165010627
78.39,98.02,98㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3527&ptpId=2,77,29,apartmenttype_399,apartment_1165010627
75.95,81.28,81㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=537&ptpId=1,286,24,apartmenttype_400,apartment_1165010628
84.75,98.87,98A㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=512&ptpId=1,195,29,apartmenttype_401,apartment_1165010629
84.87,99.06,99B㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=512&ptpId=2,30,30,apartmenttype_402,apartment_1165010629
84.95,99.14,99C㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=512&ptpId=3,15,30,apartmenttype_403,apartment_1165010629
143.95,155.6,155㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3525&ptpId=1,112,47,apartmenttype_404,apartment_1165010630
84.49,113.97,113㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3526&ptpId=1,91,34,apartmenttype_405,apartment_1165010631
117.06,126.22,126㎡,4,2,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3526&ptpId=2,78,38,apartmenttype_406,apartment_1165010631
80.25,88.42,88A㎡,3,1,계단식,239769.0,216928.0,294978.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=4,50,26,apartmenttype_407,apartment_1165010632
81.0,89.36,89B㎡,3,1,복도식,242010.0,218956.0,297735.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=1,18,27,apartmenttype_408,apartment_1165010632
81.01,89.18,89C㎡,3,1,계단식,242040.0,218983.0,297772.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=5,5,27,apartmenttype_409,apartment_1165010632
81.88,90.24,90D㎡,3,1,계단식,244639.0,221334.0,300970.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=6,2,27,apartmenttype_410,apartment_1165010632
82.42,90.78,90E㎡,3,1,계단식,246253.0,222794.0,302955.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=7,2,27,apartmenttype_411,apartment_1165010632
107.01,117.89,117A㎡,3,1,계단식,319722.0,289265.0,393341.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=8,70,35,apartmenttype_412,apartment_1165010632
107.93,119.01,119B㎡,3,1,복도식,322471.0,291752.0,396723.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=2,71,36,apartmenttype_413,apartment_1165010632
108.01,118.89,118C㎡,3,1,계단식,322710.0,291968.0,397017.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=9,7,36,apartmenttype_414,apartment_1165010632
109.06,120.14,120D㎡,3,1,계단식,325847.0,294806.0,400877.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=10,8,36,apartmenttype_415,apartment_1165010632
109.88,120.96,120㎡,3,1,계단식,328297.0,297023.0,403891.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=524&ptpId=3,9,36,apartmenttype_416,apartment_1165010632
59.55,80.09,80A㎡,3,1,계단식,169844.0,180776.0,167415.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=518&ptpId=1,16,24,apartmenttype_417,apartment_1165010633
59.91,80.55,80B㎡,3,1,계단식,170870.0,181868.0,168427.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=518&ptpId=3,120,24,apartmenttype_418,apartment_1165010633
84.84,109.64,109A㎡,3,2,계단식,241973.0,257548.0,238514.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=518&ptpId=4,18,33,apartmenttype_419,apartment_1165010633
84.86,109.65,109B㎡,3,2,계단식,242031.0,257608.0,238570.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=518&ptpId=2,193,33,apartmenttype_420,apartment_1165010633
81.05,90.37,90A㎡,3,2,계단식,302768.0,279658.0,364464.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=539&ptpId=2,78,27,apartmenttype_421,apartment_1165010634
81.23,90.43,90B㎡,3,2,계단식,303440.0,280279.0,365274.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=539&ptpId=3,119,27,apartmenttype_422,apartment_1165010634
84.56,93.78,93C㎡,3,2,계단식,315879.0,291770.0,380248.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=539&ptpId=1,11,28,apartmenttype_423,apartment_1165010634
107.29,116.4,116㎡,4,1,복도식,371843.0,295920.0,487861.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=535&ptpId=1,130,35,apartmenttype_424,apartment_1165010635
112.25,121.86,121㎡,4,1,복합식,389034.0,309600.0,510414.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=535&ptpId=3,30,36,apartmenttype_425,apartment_1165010635
140.04,153.62,153㎡,4,2,계단식,485348.0,386249.0,636779.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=535&ptpId=2,160,46,apartmenttype_426,apartment_1165010635
104.02,112.73,112㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=527&ptpId=6,22,34,apartmenttype_427,apartment_1165010636
105.57,114.41,114㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=527&ptpId=1,2,34,apartmenttype_428,apartment_1165010636
117.15,126.96,126A㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=527&ptpId=2,88,38,apartmenttype_429,apartment_1165010636
117.16,126.97,126B㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=527&ptpId=3,11,38,apartmenttype_430,apartment_1165010636
118.89,128.87,128A㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=527&ptpId=4,8,39,apartmenttype_431,apartment_1165010636
118.9,128.88,128B㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=527&ptpId=5,1,39,apartmenttype_432,apartment_1165010636
84.89,96.5,96㎡,3,2,계단식,310887.0,264685.0,387750.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=538&ptpId=1,150,29,apartmenttype_433,apartment_1165010637
96.48,103.57,103A㎡,3,1,복도식,264396.0,231426.0,334668.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=5,220,31,apartmenttype_434,apartment_1165010638
96.78,103.87,103B㎡,3,1,복도식,265218.0,232146.0,335708.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=6,20,31,apartmenttype_435,apartment_1165010638
100.11,108.55,108㎡,3,1,복도식,274344.0,240133.0,347259.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=1,288,32,apartmenttype_436,apartment_1165010638
105.44,113.14,113A㎡,4,1,복도식,288950.0,252918.0,365748.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=7,99,34,apartmenttype_437,apartment_1165010638
105.77,113.47,113B㎡,4,1,복도식,289855.0,253709.0,366892.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=8,9,34,apartmenttype_438,apartment_1165010638
105.89,113.78,113C㎡,4,1,복도식,290184.0,253998.0,367309.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=2,154,34,apartmenttype_439,apartment_1165010638
106.31,114.2,114A㎡,4,1,복도식,291334.0,255005.0,368766.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=9,14,34,apartmenttype_440,apartment_1165010638
107.39,115.23,115B㎡,4,1,복도식,294294.0,257595.0,372512.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=10,88,34,apartmenttype_441,apartment_1165010638
108.42,116.26,116C㎡,4,1,복도식,297117.0,260066.0,376085.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=11,8,35,apartmenttype_442,apartment_1165010638
137.1,149.53,149㎡,4,2,계단식,375712.0,328861.0,475569.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=3,216,45,apartmenttype_443,apartment_1165010638
155.0,168.64,168㎡,5,2,계단식,424766.0,371797.0,537661.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=532&ptpId=4,96,51,apartmenttype_444,apartment_1165010638
59.85,80.07,80㎡,3,1,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=1168&ptpId=1,39,24,apartmenttype_445,apartment_1165010639
84.54,113.1,113㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=1168&ptpId=2,86,34,apartmenttype_446,apartment_1165010639
59.4,83.77,83㎡,2,1,복도식,203637.0,184760.0,251250.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=540&ptpId=10,18,25,apartmenttype_447,apartment_1165010640
59.81,84.91,84㎡,2,1,복도식,205043.0,186035.0,252984.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=540&ptpId=1,83,25,apartmenttype_448,apartment_1165010640
66.02,94.19,94㎡,2,1,계단식,226332.0,205351.0,279251.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=540&ptpId=11,4,28,apartmenttype_449,apartment_1165010640
68.09,97.14,97㎡,3,1,계단식,233429.0,211789.0,288007.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=540&ptpId=2,5,29,apartmenttype_450,apartment_1165010640
