area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
59.98,80.16,80㎡,3,1,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=1,47,24,apartmenttype_32,apartment_1165010107
84.87,106.34,106A㎡,3,2,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=3,26,32,apartmenttype_33,apartment_1165010107
84.88,107.19,107B㎡,3,2,복도식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=2,5,32,apartmenttype_34,apartment_1165010107
114.46,139.13,139B㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=5,10,42,apartmenttype_35,apartment_1165010107
114.52,139.2,139A㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=857&ptpId=4,15,42,apartmenttype_36,apartment_1165010107
84.91,97.39,97㎡,3,2,계단식,202465.0,213927.0,206622.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=466&ptpId=1,364,29,apartmenttype_37,apartment_1165010108
59.94,85.04,85㎡,2,1,복도식,143768.0,149836.0,146122.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=1,262,25,apartmenttype_38,apartment_1165010109
84.96,109.44,109㎡,3,2,계단식,203779.0,212381.0,207115.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=2,224,33,apartmenttype_39,apartment_1165010109
114.78,141.97,141㎡,4,2,계단식,275303.0,286924.0,279811.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=3,108,43,apartmenttype_40,apartment_1165010109
124.81,151.84,151㎡,4,2,계단식,299361.0,311997.0,304262.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=4,11,46,apartmenttype_41,apartment_1165010109
134.76,163.97,163㎡,4,2,계단식,323226.0,336869.0,328518.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=464&ptpId=5,39,49,apartmenttype_42,apartment_1165010109
59.86,81.58,81㎡,2,1,계단식,130956.0,138727.0,129828.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=1,29,24,apartmenttype_43,apartment_1165010110
84.94,108.29,108㎡,3,2,계단식,185824.0,196852.0,184223.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=3,156,32,apartmenttype_44,apartment_1165010110
114.74,141.51,141㎡,4,2,계단식,251017.0,265914.0,248855.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=4,69,42,apartmenttype_45,apartment_1165010110
147.26,176.05,176㎡,4,2,계단식,322162.0,341280.0,319387.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=3346&ptpId=5,112,53,apartmenttype_46,apartment_1165010110
84.98,106.36,106㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=1,26,32,apartmenttype_47,apartment_1165010111
120.91,148.8,148A㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=2,52,45,apartmenttype_48,apartment_1165010111
122.82,150.06,150B㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=3,25,45,apartmenttype_49,apartment_1165010111
122.96,150.23,150C㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=4,10,45,apartmenttype_50,apartment_1165010111
123.34,152.1,152㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9603&ptpId=5,10,46,apartmenttype_51,apartment_1165010111
80.2,98.62,98㎡,3,1,계단식,198157.0,206550.0,197912.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=1,144,29,apartmenttype_52,apartment_1165010112
84.95,106.5,106A㎡,3,1,복도식,211152.0,218784.0,208917.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=4,72,32,apartmenttype_53,apartment_1165010112
84.99,106.55,106B㎡,3,1,복도식,209992.0,218886.0,209732.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=2,84,32,apartmenttype_54,apartment_1165010112
117.19,138.46,138㎡,4,2,계단식,289551.0,301816.0,289193.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=471&ptpId=3,168,41,apartmenttype_55,apartment_1165010112
59.9,78.51,78A㎡,3,2,계단식,161824.0,172131.0,158817.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9035&ptpId=1,66,23,apartmenttype_56,apartment_1165010113
84.91,106.49,106㎡,3,2,계단식,229390.0,244001.0,225128.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9035&ptpId=3,152,32,apartmenttype_57,apartment_1165010113
114.94,135.51,135㎡,4,2,계단식,310518.0,330297.0,304749.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=9035&ptpId=4,78,41,apartmenttype_58,apartment_1165010113
134.04,164.49,164㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=10495&ptpId=1,86,49,apartmenttype_59,apartment_1165010114
157.55,191.55,191㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=10495&ptpId=2,36,58,apartmenttype_60,apartment_1165010114
84.32,114.5,114A㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=1,40,34,apartmenttype_61,apartment_1165010115
84.66,114.6,114B㎡,3,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=2,16,34,apartmenttype_62,apartment_1165010115
125.58,155.01,155㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=3,70,46,apartmenttype_63,apartment_1165010115
157.56,199.17,199㎡,4,2,계단식,,,,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=18934&ptpId=4,12,60,apartmenttype_64,apartment_1165010115
59.97,84.27,84B㎡,3,2,계단식,154570.0,191671.0,144366.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=2,83,25,apartmenttype_65,apartment_1165010116
59.99,84.93,84A㎡,3,2,계단식,154611.0,191722.0,144405.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=1,20,25,apartmenttype_66,apartment_1165010116
84.91,109.67,109C㎡,3,2,계단식,218848.0,271378.0,204401.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=5,165,33,apartmenttype_67,apartment_1165010116
84.93,110.78,110A㎡,3,2,계단식,218893.0,271434.0,204443.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=3,99,33,apartmenttype_68,apartment_1165010116
84.97,110.09,110B㎡,3,2,계단식,219001.0,271568.0,204544.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=4,65,33,apartmenttype_69,apartment_1165010116
121.63,149.45,149B㎡,4,2,계단식,313489.0,388735.0,292793.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=104449&ptpId=7,50,45,apartmenttype_70,apartment_1165010116
