name,district,lat,lon,type,level,homepage,uuid
원촌중학교,강남서초3학교군,37.50632511,127.0146997,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000730,school_0
경원중학교,강남서초3학교군,37.5115816,127.0090183,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000700,school_1
신동중학교,강남서초3학교군,37.5169159,127.0129154,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000722,school_2
신반포중학교,강남서초3학교군,37.50626532,126.9961146,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000723,school_3
반포중학교,강남서초3학교군,37.50304393,126.991604,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000711,school_4
세화여자중학교,강남서초3학교군,37.5019828,126.99423,사립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000718,school_5
서운중학교,강남서초3학교군,37.49394851,127.0245382,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000715,school_6
서일중학교,강남서초3학교군,37.49852986,127.0232207,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000716,school_7
방배중학교,강남서초3학교군,37.49486827,126.997827,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000712,school_8
영동중학교,강남서초3학교군,37.46598629,127.0251408,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000729,school_9
서초중학교,강남서초3학교군,37.48553868,127.0085193,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000717,school_10
언남중학교,강남서초3학교군,37.47240137,127.0442813,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000725,school_11
동덕여자중학교,강남서초3학교군,37.47587863,126.991995,사립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000710,school_12
이수중학교,강남서초3학교군,37.48063003,126.9898591,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000732,school_13
서문여자중학교,강남서초3학교군,37.48891973,126.9845622,사립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000714,school_14
내곡중학교,강남서초4학교군,37.45200325,127.0544446,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100006334,school_15
반포고등학교,강남서초학교군,37.50270273,127.0165603,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000440,school_16
서초고등학교,강남서초학교군,37.48961169,127.0053783,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000463,school_17
세화고등학교,강남서초학교군,37.50199646,126.99423,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000473,school_18
세화여자고등학교,강남서초학교군,37.50199646,126.99423,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000474,school_19
양재고등학교,강남서초학교군,37.48242164,127.0320796,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000487,school_20
서울고등학교,강남서초학교군,37.48429306,127.0049019,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000456,school_21
상문고등학교,강남서초학교군,37.47975543,127.0039168,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000452,school_22
언남고등학교,강남서초학교군,37.47233002,127.0430052,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000491,school_23
동덕여자고등학교,강남서초학교군,37.47583666,126.991995,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000421,school_24
서울전자고등학교,강남서초학교군,37.46972182,126.9883284,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000657,school_25
서문여자고등학교,강남서초학교군,37.48891973,126.9845458,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000455,school_26
서울언남초등학교,서울언남초통학구역,37.45411333,127.0614475,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000772,school_27
서울방현초등학교,서울방현초통학구역,37.47650298,126.9900734,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000757,school_28
서울방배초등학교,서울방현초통학구역,37.4867641,126.9871924,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000755,school_29
서울방일초등학교,서울방현초통학구역,37.4852056,126.998849,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000756,school_30
서울서이초등학교,서울서이초통학구역,37.49156467,127.025618,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000762,school_31
서울서일초등학교,서울서이초통학구역,37.48529778,127.0221598,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000763,school_32
서울서초초등학교,서울서이초통학구역,37.49904877,127.0248915,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000764,school_33
서울서원초등학교,서울서이초통학구역,37.5024389,127.0146195,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000761,school_34
서울잠원초등학교,서울잠원초통학구역,37.501859,126.9980966,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000783,school_35
계성초등학교,서울잠원초통학구역,37.5049159,126.9968257,사립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100002365,school_36
서울서래초등학교,서울서래초통학구역,37.496404,126.9901565,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000760,school_37
서울우솔초등학교,서울우솔초통학구역,37.45709258,127.0192756,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100005830,school_38
서울우면초등학교,서울우솔초통학구역,37.46471047,127.0237894,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100005549,school_39
서울우암초등학교,서울우솔초통학구역,37.47229555,127.0237234,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000778,school_40
서울반원초등학교,서울반원초통학구역,37.510312,127.0040536,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000753,school_41
서울반포초등학교,서울반원초통학구역,37.50248483,126.9917416,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000754,school_42
서울이수초등학교,서울이수초통학구역,37.47837133,126.9844171,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000781,school_43
서울신동초등학교,서울신동초통학구역,37.51713004,127.0113904,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000767,school_44
서울양재초등학교,서울양재초통학구역,37.47416538,127.0318861,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000770,school_45
서울신중초등학교,서울신중초통학구역,37.48015788,127.0093433,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000768,school_46
서울원명초등학교,서울원명초통학구역,37.50079587,127.0167076,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000779,school_47
서울원촌초등학교,서울원명초통학구역,37.50618948,127.0125656,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000780,school_48
