uuid,uuid_specialpurposearea,uuid_districtboundarydong
"127",specialpurposearea_127,districtboundarydong_11650107
"128",specialpurposearea_128,districtboundarydong_11650107
"129",specialpurposearea_129,districtboundarydong_11650107
"130",specialpurposearea_130,districtboundarydong_11650107
"131",specialpurposearea_131,districtboundarydong_11650107
"132",specialpurposearea_132,districtboundarydong_11650107
"133",specialpurposearea_133,districtboundarydong_11650107
"134",specialpurposearea_134,districtboundarydong_11650107
"135",specialpurposearea_135,districtboundarydong_11650107
"136",specialpurposearea_136,districtboundarydong_11650107
"137",specialpurposearea_137,districtboundarydong_11650107
"138",specialpurposearea_138,districtboundarydong_11650107
"139",specialpurposearea_139,districtboundarydong_11650107
"140",specialpurposearea_140,districtboundarydong_11650107
"141",specialpurposearea_141,districtboundarydong_11650107
"142",specialpurposearea_142,districtboundarydong_11650107
"143",specialpurposearea_143,districtboundarydong_11650107
"144",specialpurposearea_144,districtboundarydong_11650107
"145",specialpurposearea_145,districtboundarydong_11650107
"146",specialpurposearea_146,districtboundarydong_11650107
"147",specialpurposearea_147,districtboundarydong_11650107
"148",specialpurposearea_148,districtboundarydong_11650107
"149",specialpurposearea_149,districtboundarydong_11650107
"150",specialpurposearea_150,districtboundarydong_11650107
"151",specialpurposearea_151,districtboundarydong_11650107
"152",specialpurposearea_152,districtboundarydong_11650107
"153",specialpurposearea_153,districtboundarydong_11650107
"154",specialpurposearea_154,districtboundarydong_11650107
"155",specialpurposearea_155,districtboundarydong_11650107
"156",specialpurposearea_156,districtboundarydong_11650107
"157",specialpurposearea_157,districtboundarydong_11650107
"158",specialpurposearea_158,districtboundarydong_11650107
"159",specialpurposearea_159,districtboundarydong_11650107
"160",specialpurposearea_160,districtboundarydong_11650107
"161",specialpurposearea_161,districtboundarydong_11650107
"162",specialpurposearea_162,districtboundarydong_11650107
"163",specialpurposearea_163,districtboundarydong_11650107
"164",specialpurposearea_164,districtboundarydong_11650107
"165",specialpurposearea_165,districtboundarydong_11650107
"166",specialpurposearea_166,districtboundarydong_11650107
"167",specialpurposearea_167,districtboundarydong_11650107
"168",specialpurposearea_168,districtboundarydong_11650107
"169",specialpurposearea_169,districtboundarydong_11650107
"170",specialpurposearea_170,districtboundarydong_11650107
"171",specialpurposearea_171,districtboundarydong_11650107
"172",specialpurposearea_172,districtboundarydong_11650107
"173",specialpurposearea_173,districtboundarydong_11650107
"174",specialpurposearea_174,districtboundarydong_11650107
"175",specialpurposearea_175,districtboundarydong_11650107
"176",specialpurposearea_176,districtboundarydong_11650107
"177",specialpurposearea_177,districtboundarydong_11650107
"178",specialpurposearea_178,districtboundarydong_11650107
"179",specialpurposearea_179,districtboundarydong_11650107
"180",specialpurposearea_180,districtboundarydong_11650107
"181",specialpurposearea_181,districtboundarydong_11650107
"182",specialpurposearea_182,districtboundarydong_11650107
"183",specialpurposearea_183,districtboundarydong_11650107
"184",specialpurposearea_184,districtboundarydong_11650107
"185",specialpurposearea_185,districtboundarydong_11650107
"186",specialpurposearea_186,districtboundarydong_11650107
"187",specialpurposearea_187,districtboundarydong_11650107
"188",specialpurposearea_188,districtboundarydong_11650107
"189",specialpurposearea_189,districtboundarydong_11650107
"190",specialpurposearea_190,districtboundarydong_11650107
"191",specialpurposearea_191,districtboundarydong_11650107
"192",specialpurposearea_192,districtboundarydong_11650107
"193",specialpurposearea_193,districtboundarydong_11650107
"194",specialpurposearea_194,districtboundarydong_11650107
