way_type,name,lon,lat,uuid
culture,구룡산 나들길,127.0614935,37.46896272,goodwaytowalk_5503
culture,구룡산 나들길,127.0600493,37.46886485,goodwaytowalk_5507
culture,구룡산 나들길,127.0482776,37.46554119,goodwaytowalk_5585
culture,구룡산 나들길,127.0498135,37.46634074,goodwaytowalk_5588
culture,구룡산 나들길,127.0565199,37.46833307,goodwaytowalk_5642
culture,서리골서리풀나들길,127.0068338,37.50242185,goodwaytowalk_5463
culture,서리골서리풀나들길,127.0027237,37.50236857,goodwaytowalk_5468
culture,서리골서리풀나들길,127.0063244,37.50300578,goodwaytowalk_5478
culture,서리골서리풀나들길,127.0086345,37.50035075,goodwaytowalk_5481
culture,서리골서리풀나들길,127.009918,37.49871926,goodwaytowalk_5487
culture,서리골서리풀나들길,127.0070349,37.50180554,goodwaytowalk_5493
culture,서리골서리풀나들길,127.0064332,37.50295204,goodwaytowalk_5520
culture,서리골서리풀나들길,126.9986518,37.48171534,goodwaytowalk_5527
culture,서리골서리풀나들길,127.000363,37.48246175,goodwaytowalk_5579
culture,서리골서리풀나들길,127.0028473,37.48471103,goodwaytowalk_5582
culture,서리골서리풀나들길,127.0069021,37.50233153,goodwaytowalk_5658
culture,서리골서리풀나들길,126.9979884,37.48331066,goodwaytowalk_5667
culture,서리골서리풀나들길,127.0024593,37.49808299,goodwaytowalk_5682
culture,서리골서리풀나들길,126.9976443,37.48166292,goodwaytowalk_5713
culture,서리골서리풀나들길,126.9974423,37.48192612,goodwaytowalk_5715
culture,서리골서리풀나들길,126.9976384,37.48347096,goodwaytowalk_5826
culture,서리골서리풀나들길,126.9976278,37.49325324,goodwaytowalk_5836
culture,서리골서리풀나들길,127.0031549,37.50169338,goodwaytowalk_5848
culture,서리골서리풀나들길,126.9982781,37.48167194,goodwaytowalk_5850
culture,서리골서리풀나들길,127.0030083,37.50192295,goodwaytowalk_5857
culture,서리골서리풀나들길,126.9979292,37.48591019,goodwaytowalk_5892
culture,서리골서리풀나들길,126.9995879,37.48760831,goodwaytowalk_5907
culture,서리골서리풀나들길,126.9972347,37.489538,goodwaytowalk_5910
culture,서리골서리풀나들길,127.0066506,37.50266434,goodwaytowalk_5923
culture,서리골서리풀나들길,127.00428,37.49467727,goodwaytowalk_5937
culture,서리골서리풀나들길,126.9995963,37.48739471,goodwaytowalk_5976
culture,서리골서리풀나들길,127.0023412,37.49323665,goodwaytowalk_5991
culture,우면산숲 나들길,127.0200017,37.48164634,goodwaytowalk_5475
culture,우면산숲 나들길,127.0162506,37.48472578,goodwaytowalk_5489
culture,우면산숲 나들길,127.0140342,37.47327488,goodwaytowalk_5497
culture,우면산숲 나들길,127.0028387,37.47258871,goodwaytowalk_5528
culture,우면산숲 나들길,127.0068668,37.47075847,goodwaytowalk_5563
culture,우면산숲 나들길,127.0065772,37.47598767,goodwaytowalk_5578
culture,우면산숲 나들길,127.0170214,37.4833458,goodwaytowalk_5580
culture,우면산숲 나들길,127.0053655,37.47526684,goodwaytowalk_5630
culture,우면산숲 나들길,127.0170087,37.48336861,goodwaytowalk_5646
culture,우면산숲 나들길,127.0164783,37.48431811,goodwaytowalk_5652
culture,우면산숲 나들길,127.0175954,37.47627084,goodwaytowalk_5680
culture,우면산숲 나들길,127.0175211,37.47617383,goodwaytowalk_5690
culture,우면산숲 나들길,127.0047101,37.47472795,goodwaytowalk_5704
culture,우면산숲 나들길,127.0166336,37.48404012,goodwaytowalk_5754
culture,우면산숲 나들길,127.0105236,37.47883903,goodwaytowalk_5772
culture,우면산숲 나들길,127.0150051,37.4737207,goodwaytowalk_5801
culture,우면산숲 나들길,127.019828,37.48166103,goodwaytowalk_5841
culture,우면산숲 나들길,127.0145327,37.47340466,goodwaytowalk_5866
culture,우면산숲 나들길,127.0199666,37.48146856,goodwaytowalk_5870
