latitude,longitude,altitude,geometry,name,district,lat,lon,type,level,homepage,uuid
37.50632511,127.0146997,,Point,원촌중학교,강남서초3학교군,37.50632511,127.0146997,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000730,0
37.5115816,127.0090183,,Point,경원중학교,강남서초3학교군,37.5115816,127.0090183,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000700,1
37.5169159,127.0129154,,Point,신동중학교,강남서초3학교군,37.5169159,127.0129154,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000722,2
37.50626532,126.9961146,,Point,신반포중학교,강남서초3학교군,37.50626532,126.9961146,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000723,3
37.50304393,126.991604,,Point,반포중학교,강남서초3학교군,37.50304393,126.991604,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000711,4
37.5019828,126.99423,,Point,세화여자중학교,강남서초3학교군,37.5019828,126.99423,사립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000718,5
37.49394851,127.0245382,,Point,서운중학교,강남서초3학교군,37.49394851,127.0245382,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000715,6
37.49852986,127.0232207,,Point,서일중학교,강남서초3학교군,37.49852986,127.0232207,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000716,7
37.49486827,126.997827,,Point,방배중학교,강남서초3학교군,37.49486827,126.997827,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000712,8
37.46598629,127.0251408,,Point,영동중학교,강남서초3학교군,37.46598629,127.0251408,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000729,9
37.48553868,127.0085193,,Point,서초중학교,강남서초3학교군,37.48553868,127.0085193,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000717,10
37.47240137,127.0442813,,Point,언남중학교,강남서초3학교군,37.47240137,127.0442813,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000725,11
37.47587863,126.991995,,Point,동덕여자중학교,강남서초3학교군,37.47587863,126.991995,사립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000710,12
37.48063003,126.9898591,,Point,이수중학교,강남서초3학교군,37.48063003,126.9898591,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000732,13
37.48891973,126.9845622,,Point,서문여자중학교,강남서초3학교군,37.48891973,126.9845622,사립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000714,14
37.45200325,127.0544446,,Point,내곡중학교,강남서초4학교군,37.45200325,127.0544446,공립,중학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100006334,15
37.50270273,127.0165603,,Point,반포고등학교,강남서초학교군,37.50270273,127.0165603,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000440,16
37.48961169,127.0053783,,Point,서초고등학교,강남서초학교군,37.48961169,127.0053783,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000463,17
37.50199646,126.99423,,Point,세화고등학교,강남서초학교군,37.50199646,126.99423,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000473,18
37.50199646,126.99423,,Point,세화여자고등학교,강남서초학교군,37.50199646,126.99423,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000474,19
37.48242164,127.0320796,,Point,양재고등학교,강남서초학교군,37.48242164,127.0320796,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000487,20
37.48429306,127.0049019,,Point,서울고등학교,강남서초학교군,37.48429306,127.0049019,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000456,21
37.47975543,127.0039168,,Point,상문고등학교,강남서초학교군,37.47975543,127.0039168,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000452,22
37.47233002,127.0430052,,Point,언남고등학교,강남서초학교군,37.47233002,127.0430052,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000491,23
37.47583666,126.991995,,Point,동덕여자고등학교,강남서초학교군,37.47583666,126.991995,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000421,24
37.46972182,126.9883284,,Point,서울전자고등학교,강남서초학교군,37.46972182,126.9883284,공립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000657,25
37.48891973,126.9845458,,Point,서문여자고등학교,강남서초학교군,37.48891973,126.9845458,사립,고등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000455,26
37.45411333,127.0614475,,Point,서울언남초등학교,서울언남초통학구역,37.45411333,127.0614475,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000772,27
37.47650298,126.9900734,,Point,서울방현초등학교,서울방현초통학구역,37.47650298,126.9900734,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000757,28
37.4867641,126.9871924,,Point,서울방배초등학교,서울방현초통학구역,37.4867641,126.9871924,공립,초등학교,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?HG_CD=B100000755,29
