latitude,longitude,altitude,geometry,uuid,name,lon,lat
37.5042121,127.0032242,,Point,1,메가박스중앙(주) 센트럴 더부티크,127.0032242,37.5042121
37.4980628,127.0265011,,Point,2,메가박스중앙(주) 강남,127.0265011,37.4980628
37.4889667,127.025952,,Point,3,CGV Salon 서초,127.025952,37.4889667
